name,release_date,image,songs,notes,artist,genre,price
It's On,2003,https://i.discogs.com/Uy9BsTnugoU_Xq02v9-Z7jN8i55t3k6h6Q4zymQ6wog/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMTYx/MS0xMzUyOTcyNjU5/LTgzNTguanBlZw.jpeg,It's On (Woz's Original Club Mix)|It's On (Woz's Epic Dub)|It's On (Mateo & Matos Dub),,Keith Thompson,"[""Electronic""]",2.16
Without U,2003,https://i.discogs.com/l2AbwPMrhe-sS5OkU_W89fz_TSjArSsIr9Dg-15ErqA/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwODI5/My0xNTA1MzMxNTM5/LTc3MDUuanBlZw.jpeg,Without U (Sure Is Pure Vocal Version)|Without U (Soul Mekanik Version),,Keith Thompson,"[""Electronic""]",1.07
I Found Lovin,2003,https://i.discogs.com/ocv9CNuQfsKgqTIBqdXMFohZvccQPV34pECvkbf9Euo/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQwNTcx/NS0xNTUyNTAxNzU5/LTMwNTYuanBlZw.jpeg,I Found Lovin (The Main Mix)|I Found Lovin (Chorusapella)|I Found Lovin (Instrumental),,Keith Thompson,"[""Electronic""]",2.0
Dig My Roots In You,2003,https://i.discogs.com/rqeIMbaVVaJrx5oG3yBXe2L7jTDmw8fSO6_YfI7V0zY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE5ODU5/Ny0xMjU5ODM5ODI5/LmpwZWc.jpeg,Dig My Roots In You|One More,,Keith Thompson,"[""Electronic""]",1.33
In What?,2003,https://i.discogs.com/O6AGFpN45gppuy7ThHB_Q64m9NMajq50TZh2hAanJTU/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIzNDI1/Mi0xMzc5MDAwMjYw/LTM1NDkuanBlZw.jpeg,In What? (Original Hooton & Thompson Mix)|In What? (Saxy Instrumental)|In What? (DJ Romain RoDog Mix),,Keith Thompson,"[""Electronic""]",1.16
Untitled,1998,https://i.discogs.com/-Dcws9h0ZTKxh2v4wqaJYCFkfYZ_ixH0LrECquMfI1Y/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEwMzU3/NTMtMTIyNzc5MjAx/Mi5qcGVn.jpeg,I Want To Believe|6x7|Undakurrentz|Taken My Love,,Oshun Flow / The Man From Atlantis*,"[""Electronic""]",61.32
Ebony Chick,1999,https://i.discogs.com/dVWcX6TDr2njDvsIoj5zJiRT5ri7H39GvatJvv_LHpE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxNjQx/MC0xNDI1MDg1NzYw/LTQ3NTMuanBlZw.jpeg,Down There (a)|Ebony Chick (Oshun Flow's Abyss Mix)|Ebony Chick (Oshun Flow's Abyss Dub)|Down Here (b)|Ebony Chick (Ten Bar's Dub)|Ebony Chick (Digs & Woosh's Early Summer Vibe),,Oshun Flow / The Man From Atlantis*,"[""Electronic""]",2.21
HalfLife,1999,https://i.discogs.com/bLcG3N7rY7DWSbeMc37mcwraICmlPQ5IhtPZu0WDs-w/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNTI0/Ni0xMTA4MjQwNjE1/LmpwZw.jpeg,HalfLife (Oshun Flow's Original Mix)|HalfLife (M.F.A.'s Squelchy Dub)|HalfLife (Chicken Lips Live At The Funhouse Mix)|HalfLife (Deep Range Remix),,Oshun Flow / The Man From Atlantis*,"[""Electronic""]",8.0
Became The Woman,1998,https://i.discogs.com/cmEPbmxZBMCkp1HIY7qK4BCQI8nSGhDhk-pWdoxE4GE/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTEyNDU2/MjktMTUzOTUxOTM2/Ny05NjYwLmpwZWc.jpeg,"Became The Woman (Tee's Extended Vocal Mix)|Became The Woman (Tee's Dubstramental Mix)|Became The Woman (The Brothers' ""Vibe"" Mix)|Became The Woman (The Brothers' Retroactive Dub)",First released on [m=186013].,Oshun Flow / The Man From Atlantis*,"[""Electronic""]",1.73
Touch It / Sawsee,1998,https://i.discogs.com/MZHbtL1mkwOUstkhmH8U11Y4bPwefhKmQp4y4SxmidY/rs:fit/g:sm/q:40/h:150/w:150/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTYwMjAx/MS0xNTU1Nzk1Mjgw/LTM1NDcuanBlZw.jpeg,Touch It (MFA Dub)|Touch It (Original)|Sawsee|Sawsee (Oshun Flo Future Dub),,Oshun Flow / The Man From Atlantis*,"[""Electronic""]",35.0
